Order_ID,Order_Date,State,Gender,Age,Product_Category,Quantity,Unit_Price,Customer_Satisfaction,Total_Price
40,2023-09-01,Texas,Female,22,Toys,3,381.76,5,1145.27
41,2023-11-16,New York,Female,54,Clothing,2,336.04,2,672.08
42,2023-05-11,Illinois,Female,37,Clothing,9,155.59,4,1400.35
43,2023-11-03,Texas,Male,41,Clothing,8,67.31,4,538.48
44,2023-05-15,Illinois,Male,53,Toys,2,417.3,5,834.6
45,2023-01-21,California,Male,51,Electronics,6,340.38,2,2042.3
46,2023-11-25,Florida,Female,62,Books,3,13.34,3,40.03
47,2023-06-16,Florida,Female,65,Toys,3,317.66,2,952.97
48,2023-10-01,New York,Female,51,Furniture,5,407.05,1,2035.23
49,2023-03-30,Florida,Female,36,Furniture,7,299.48,5,2096.33
50,2023-11-12,California,Female,34,Toys,7,218.11,3,1526.77
51,2023-01-14,New York,Female,22,Toys,1,296.12,2,296.12
52,2023-08-30,Texas,Male,42,Electronics,7,313.66,2,2195.61
53,2023-09-22,Florida,Male,35,Furniture,7,323.62,3,2265.32
54,2023-12-12,New York,Male,67,Books,6,483.85,1,2903.11
55,2023-02-22,California,Male,25,Clothing,6,97.54,1,585.22
56,2023-12-06,Illinois,Male,44,Clothing,2,315.32,2,630.63
57,2023-04-02,Illinois,Male,32,Electronics,3,102.12,4,306.35
58,2023-09-21,California,Male,62,Electronics,3,112.88,3,338.64
59,2023-02-04,California,Male,30,Furniture,3,337.94,1,1013.81
60,2023-07-25,Illinois,Female,33,Books,2,458.82,1,917.64
61,2023-03-22,New York,Female,39,Books,9,87.93,1,791.39
62,2023-02-19,Illinois,Female,37,Toys,6,481.61,5,2889.65
63,2023-12-26,California,Female,30,Electronics,2,166.49,4,332.98
64,2023-01-02,Florida,Female,37,Clothing,3,201.74,1,605.23
65,2023-02-23,Texas,Female,19,Clothing,6,85.3,4,511.82
66,2023-04-16,Florida,Female,52,Furniture,4,311.76,2,1247.04
67,2023-09-17,Florida,Male,64,Clothing,7,302.25,2,2115.72
68,2023-11-06,California,Male,36,Books,6,226.71,5,1360.27
69,2023-07-10,Illinois,Female,62,Books,6,243.28,4,1459.71
70,2023-08-06,New York,Male,54,Electronics,3,315.26,3,945.77
71,2023-02-13,Florida,Male,23,Furniture,8,295.91,5,2367.31
72,2023-06-11,Illinois,Male,31,Clothing,9,193.39,1,1740.5
73,2023-07-21,New York,Male,21,Electronics,6,443.22,2,2659.3
74,2023-09-27,Florida,Male,39,Toys,2,337.15,2,674.31
75,2023-12-17,New York,Female,68,Toys,1,110.65,3,110.65
76,2023-10-31,Illinois,Male,56,Clothing,3,166.75,5,500.26
77,2023-09-28,Texas,Female,53,Clothing,3,396.06,4,1188.18
78,2023-08-03,Illinois,Female,51,Clothing,8,61.22,2,489.74
79,2023-09-09,California,Female,44,Books,5,377.61,1,1888.07
80,2023-07-09,New York,Male,24,Clothing,1,185.83,3,185.83
81,2023-10-23,Texas,Female,20,Toys,4,280.33,3,1121.31
82,2023-08-01,New York,Female,64,Clothing,7,147.47,3,1032.31
83,2023-07-27,New York,Female,50,Furniture,5,493.36,1,2466.82
84,2023-08-25,Florida,Female,19,Toys,6,453.86,3,2723.17
85,2023-12-04,California,Male,59,Furniture,4,464.94,4,1859.76
86,2023-02-22,New York,Female,33,Toys,2,100.54,4,201.08
87,2023-10-07,Illinois,Female,42,Electronics,9,422.43,5,3801.85
88,2023-08-05,Illinois,Female,32,Toys,2,272.34,5,544.69
89,2023-09-09,Florida,Female,41,Toys,2,356.85,4,713.7
90,2023-07-07,California,Male,32,Furniture,2,116.58,1,233.15
91,2023-02-10,California,Female,48,Furniture,1,358.87,5,358.87
92,2023-06-06,Illinois,Female,31,Toys,3,457.99,3,1373.97
93,2023-01-15,Texas,Female,31,Toys,6,141.07,4,846.4
94,2023-10-28,Florida,Female,23,Books,7,124.35,2,870.42
95,2023-03-06,Florida,Female,31,Electronics,1,61.16,1,61.16
96,2023-12-11,Illinois,Female,34,Electronics,5,140.74,1,703.68
97,2023-11-23,Illinois,Male,35,Clothing,5,272.54,4,1362.69
98,2023-01-09,Texas,Female,37,Toys,1,418.03,2,418.03
99,2023-12-10,Texas,Male,68,Toys,4,146.61,1,586.45
100,2023-05-09,California,Male,34,Toys,1,314.36,5,314.36
101,2023-05-16,Florida,Female,33,Toys,1,245.0,2,245.0
102,2023-03-04,Florida,Male,57,Electronics,7,151.4,3,1059.83
103,2023-05-19,Illinois,Female,56,Furniture,7,260.08,5,1820.53
104,2023-03-22,California,Male,69,Books,3,92.3,2,276.9
105,2023-06-12,Florida,Female,49,Furniture,7,323.39,4,2263.75
106,2023-10-16,California,Male,61,Furniture,3,66.67,1,200.02
107,2023-09-18,California,Male,26,Electronics,2,368.18,5,736.36
108,2023-08-19,Illinois,Female,44,Books,4,97.08,4,388.32
109,2023-02-10,California,Male,63,Toys,3,499.1,2,1497.29
110,2023-01-28,Texas,Male,69,Electronics,7,413.6,3,2895.2
111,2023-05-15,Texas,Male,50,Electronics,1,178.48,1,178.48
112,2023-07-20,New York,Male,27,Books,6,218.84,1,1313.04
113,2023-11-24,Illinois,Male,34,Clothing,2,137.0,5,274.01
114,2023-09-25,New York,Female,66,Electronics,8,385.89,4,3087.09
115,2023-02-02,Texas,Male,66,Furniture,5,196.56,2,982.78
116,2023-02-17,New York,Male,53,Furniture,3,380.04,2,1140.12
117,2023-03-03,Illinois,Female,34,Toys,7,19.02,4,133.12
118,2023-08-04,Illinois,Female,35,Electronics,2,76.45,1,152.91
119,2023-10-20,California,Female,69,Toys,5,188.84,4,944.19
120,2023-04-09,Florida,Male,40,Electronics,8,63.37,2,506.92
121,2023-06-21,California,Male,51,Books,1,304.55,4,304.55
122,2023-12-26,Illinois,Male,25,Electronics,1,34.91,1,34.91
123,2023-08-02,Texas,Male,30,Clothing,3,431.28,5,1293.85
124,2023-02-04,Texas,Female,40,Furniture,3,383.04,1,1149.12
125,2023-08-15,California,Female,37,Books,7,115.97,3,811.76
126,2023-04-11,Illinois,Male,39,Furniture,6,247.06,3,1482.35
127,2023-05-11,Texas,Male,64,Toys,7,231.39,4,1619.72
128,2023-09-14,Illinois,Male,69,Books,4,365.18,1,1460.73
129,2023-01-05,Texas,Male,40,Clothing,2,206.74,1,413.48
130,2023-08-06,Illinois,Female,58,Furniture,2,26.14,2,52.28
131,2023-09-12,New York,Female,52,Electronics,1,144.13,5,144.13
132,2023-12-25,Illinois,Male,20,Electronics,9,238.44,1,2145.92
133,2023-10-10,Illinois,Female,51,Electronics,7,487.5,4,3412.51
134,2023-07-26,California,Male,50,Books,3,441.77,2,1325.3
135,2023-01-15,New York,Male,63,Clothing,2,98.89,2,197.78
136,2023-12-12,Florida,Female,34,Clothing,3,364.41,4,1093.22
137,2023-02-11,California,Male,62,Clothing,7,469.04,4,3283.31
138,2023-06-28,Florida,Female,36,Furniture,5,14.31,1,71.54
139,2023-03-04,Texas,Male,47,Books,3,363.26,1,1089.79
140,2023-12-18,Florida,Female,40,Electronics,9,235.07,2,2115.66
141,2023-08-19,Illinois,Male,32,Furniture,2,343.32,2,686.63
142,2023-08-29,Florida,Female,31,Clothing,7,306.74,5,2147.17
143,2023-02-21,California,Male,19,Electronics,6,492.49,2,2954.92
144,2023-04-06,California,Male,56,Books,6,151.52,4,909.12
145,2023-08-10,Florida,Female,66,Toys,7,395.21,4,2766.47
146,2023-08-19,California,Male,35,Clothing,6,124.97,5,749.84
147,2023-08-25,California,Female,23,Clothing,2,223.45,3,446.9
148,2023-05-23,Florida,Female,49,Clothing,5,487.94,3,2439.68
149,2023-06-20,New York,Male,38,Clothing,3,385.41,4,1156.22
150,2023-01-29,New York,Male,57,Electronics,9,164.75,3,1482.77
151,2023-02-05,Texas,Male,45,Books,8,313.49,3,2507.93
152,2023-01-13,California,Male,44,Furniture,2,34.35,5,68.7
153,2023-06-09,Florida,Female,19,Electronics,1,140.53,2,140.53
154,2023-11-23,California,Male,50,Books,4,362.01,2,1448.05
155,2023-07-06,Illinois,Male,33,Furniture,4,289.35,3,1157.38
156,2023-08-31,California,Male,56,Clothing,2,240.14,1,480.28
157,2023-03-27,California,Female,39,Books,7,348.53,5,2439.7
158,2023-10-11,New York,Male,60,Clothing,3,205.24,3,615.73
159,2023-03-07,Florida,Female,64,Books,7,22.82,1,159.72
160,2023-06-19,California,Male,30,Toys,7,226.1,1,1582.72
161,2023-02-14,New York,Female,19,Clothing,1,452.04,5,452.04
162,2023-03-03,Texas,Male,31,Clothing,6,429.74,2,2578.45
163,2023-05-14,New York,Male,55,Clothing,4,210.41,4,841.63
164,2023-10-11,New York,Female,58,Electronics,8,20.89,1,167.11
165,2023-01-28,New York,Male,45,Furniture,8,321.79,4,2574.32
166,2023-04-18,California,Male,24,Clothing,3,373.19,4,1119.56
167,2023-02-13,California,Male,35,Clothing,4,154.18,5,616.72
168,2023-12-06,Texas,Female,58,Electronics,1,243.57,2,243.57
169,2023-10-13,Illinois,Male,53,Electronics,2,496.01,5,992.02
170,2023-11-27,Illinois,Female,58,Toys,7,292.41,1,2046.86
171,2023-05-08,Illinois,Female,53,Books,7,182.03,2,1274.19
172,2023-12-14,Texas,Female,61,Clothing,9,317.47,3,2857.23
173,2023-08-19,Illinois,Male,21,Books,9,98.21,2,883.9
174,2023-07-09,Illinois,Female,47,Electronics,9,107.63,5,968.7
175,2023-08-13,New York,Female,41,Electronics,6,463.21,5,2779.28
176,2023-10-10,California,Male,37,Toys,8,127.21,4,1017.66
177,2023-05-01,California,Female,63,Furniture,9,162.29,3,1460.58
178,2023-04-26,New York,Female,48,Electronics,7,276.45,2,1935.16
179,2023-08-21,New York,Male,41,Clothing,4,450.85,3,1803.4
180,2023-09-16,New York,Male,24,Toys,4,392.91,4,1571.64
181,2023-12-25,California,Female,43,Furniture,6,31.45,3,188.72
182,2023-07-17,Illinois,Male,30,Toys,4,349.58,3,1398.34
183,2023-05-17,New York,Male,25,Electronics,7,256.99,2,1798.93
184,2023-11-14,Texas,Male,22,Furniture,8,243.02,3,1944.17
185,2023-06-14,New York,Female,61,Books,8,348.86,4,2790.91
186,2023-08-13,Florida,Female,30,Furniture,8,106.15,1,849.23
187,2023-11-03,New York,Male,46,Clothing,2,490.93,1,981.86
188,2023-08-22,California,Female,37,Books,2,326.2,5,652.4
189,2023-06-21,New York,Male,31,Books,2,189.17,1,378.34
190,2023-06-01,Florida,Male,49,Clothing,2,304.1,2,608.2
191,2023-11-11,Texas,Male,67,Books,4,116.07,5,464.28
192,2023-06-09,Illinois,Male,44,Electronics,5,320.58,1,1602.91
193,2023-04-06,New York,Male,42,Furniture,4,23.83,1,95.31
194,2023-08-21,Florida,Female,69,Furniture,5,177.18,5,885.9
195,2023-06-29,Florida,Female,21,Clothing,4,376.28,2,1505.13
196,2023-04-23,Texas,Female,38,Electronics,7,405.91,5,2841.36
197,2023-11-14,California,Female,35,Books,1,133.93,2,133.93
198,2023-02-21,New York,Male,56,Furniture,1,274.31,2,274.31
199,2023-09-25,Florida,Male,32,Furniture,2,268.96,4,537.92
200,2023-10-22,Texas,Female,55,Furniture,1,216.51,1,216.51
201,2023-04-23,Illinois,Female,65,Furniture,3,121.93,1,365.8
202,2023-04-11,Florida,Male,69,Toys,6,354.58,3,2127.49
203,2023-04-23,Texas,Male,41,Clothing,6,133.66,5,801.94
204,2023-03-22,California,Male,25,Books,1,456.4,4,456.4
205,2023-07-06,California,Female,45,Books,6,268.97,1,1613.79
206,2023-04-23,Florida,Male,38,Clothing,5,436.53,3,2182.67
207,2023-01-02,Florida,Male,33,Electronics,7,152.46,4,1067.25
208,2023-05-10,New York,Female,33,Clothing,6,405.47,2,2432.81
209,2023-08-08,Texas,Female,52,Furniture,7,65.7,1,459.87
210,2023-02-23,Florida,Female,34,Furniture,2,385.75,5,771.49
211,2023-12-09,New York,Male,26,Clothing,1,199.6,4,199.6
212,2023-08-12,New York,Male,52,Clothing,7,240.3,3,1682.07
213,2023-08-13,Florida,Female,69,Books,9,91.74,5,825.62
214,2023-05-06,California,Male,46,Books,2,19.13,2,38.26
215,2023-05-10,Texas,Male,56,Toys,7,336.44,5,2355.06
216,2023-02-22,Texas,Male,35,Toys,3,297.98,3,893.95
217,2023-06-21,California,Female,29,Furniture,6,314.99,2,1889.94
218,2023-08-06,Florida,Female,36,Toys,3,134.95,3,404.85
219,2023-06-09,Texas,Male,65,Toys,5,127.25,1,636.23
220,2023-07-17,Florida,Male,39,Electronics,2,416.85,3,833.69
221,2023-09-04,Florida,Male,66,Clothing,8,383.01,5,3064.11
222,2023-11-20,New York,Male,69,Books,8,175.03,1,1400.22
223,2023-07-22,California,Female,32,Toys,7,322.52,1,2257.67
224,2023-07-03,Florida,Female,18,Books,6,415.79,4,2494.76
225,2023-05-03,Illinois,Male,19,Toys,1,445.53,5,445.53
226,2023-09-12,California,Male,25,Toys,8,12.85,5,102.76
227,2023-10-21,Texas,Female,39,Furniture,1,408.6,2,408.6
228,2023-10-07,New York,Male,42,Electronics,8,181.69,3,1453.54
229,2023-11-21,Texas,Female,19,Clothing,2,362.01,3,724.01
230,2023-04-08,Texas,Male,68,Clothing,8,191.99,5,1535.89
231,2023-07-17,California,Female,26,Furniture,4,307.06,3,1228.25
232,2023-08-28,Texas,Male,26,Furniture,7,326.92,5,2288.46
233,2023-05-24,Florida,Male,30,Clothing,5,208.45,1,1042.23
234,2023-04-07,Texas,Female,23,Clothing,8,261.26,3,2090.12
235,2023-07-20,New York,Female,47,Electronics,6,365.89,3,2195.36
236,2023-05-04,New York,Male,32,Toys,5,243.39,5,1216.95
237,2023-07-06,Illinois,Male,68,Electronics,1,16.85,5,16.85
238,2023-11-22,New York,Female,32,Clothing,3,16.32,2,48.97
239,2023-12-15,Texas,Female,67,Toys,9,334.04,3,3006.38
240,2023-09-16,New York,Male,24,Clothing,9,425.15,4,3826.32
241,2023-05-28,California,Male,28,Electronics,5,394.78,5,1973.92
242,2023-09-09,New York,Female,57,Electronics,3,162.1,4,486.29
243,2023-12-12,Florida,Female,55,Electronics,6,240.85,1,1445.12
244,2023-05-27,California,Female,57,Toys,5,124.74,1,623.69
245,2023-05-28,Illinois,Female,19,Books,1,494.68,4,494.68
246,2023-12-18,Florida,Female,68,Books,2,137.65,1,275.3
247,2023-07-18,Texas,Male,65,Clothing,5,213.97,4,1069.84
248,2023-11-04,Texas,Male,56,Toys,9,343.75,2,3093.78
249,2023-05-08,Texas,Female,27,Furniture,4,439.25,2,1756.99
250,2023-02-08,Florida,Male,61,Books,9,35.22,1,317.01
251,2023-12-04,Florida,Male,34,Toys,3,157.5,4,472.5
252,2023-12-26,Florida,Female,24,Toys,1,288.8,4,288.8
253,2023-05-09,California,Male,57,Books,6,312.97,4,1877.84
254,2023-09-24,California,Male,56,Toys,7,44.31,1,310.19
255,2023-05-31,Texas,Male,21,Toys,4,335.4,4,1341.59
256,2023-10-25,New York,Female,52,Books,5,268.75,5,1343.76
257,2023-04-09,Texas,Female,68,Electronics,4,415.54,4,1662.15
258,2023-09-20,Illinois,Male,64,Clothing,3,118.87,5,356.62
259,2023-09-09,California,Male,53,Furniture,1,105.56,2,105.56
260,2023-05-24,Florida,Male,48,Clothing,6,398.74,5,2392.41
261,2023-12-12,California,Male,42,Electronics,5,354.9,2,1774.48
262,2023-04-22,Florida,Male,58,Electronics,1,397.92,1,397.92
263,2023-03-01,Illinois,Male,30,Toys,5,393.15,2,1965.74
264,2023-01-02,Illinois,Female,35,Clothing,6,60.96,2,365.76
265,2023-10-31,California,Male,38,Electronics,5,146.51,4,732.53
266,2023-09-11,Florida,Male,65,Clothing,1,137.44,3,137.44
267,2023-05-20,Illinois,Female,18,Electronics,5,467.95,2,2339.74
268,2023-02-06,Texas,Male,53,Furniture,1,248.86,5,248.86
269,2023-06-09,Texas,Male,67,Electronics,3,64.42,1,193.25
270,2023-01-09,Florida,Male,25,Clothing,2,151.89,5,303.79
271,2023-08-21,California,Male,69,Toys,1,437.23,1,437.23
272,2023-04-09,Illinois,Female,65,Clothing,4,425.06,5,1700.25
273,2023-05-27,California,Male,38,Books,2,451.17,2,902.33
274,2023-10-31,Texas,Female,60,Clothing,5,200.38,3,1001.9
275,2023-07-27,Illinois,Male,69,Furniture,1,324.26,2,324.26
276,2023-05-11,California,Male,38,Furniture,1,146.31,4,146.31
277,2023-06-01,New York,Female,44,Furniture,4,98.6,5,394.42
278,2023-02-23,Florida,Male,36,Electronics,7,20.73,3,145.12
279,2023-04-30,Florida,Female,40,Furniture,2,119.49,5,238.97
280,2023-06-10,New York,Female,68,Clothing,2,306.14,4,612.29
281,2023-04-26,Texas,Female,67,Toys,1,453.06,4,453.06
282,2023-03-16,Illinois,Male,68,Furniture,5,75.38,4,376.88
283,2023-04-23,Florida,Male,60,Clothing,6,459.83,2,2758.95
284,2023-04-14,New York,Male,52,Electronics,6,179.24,2,1075.43
285,2023-12-06,New York,Male,57,Electronics,2,219.15,3,438.29
286,2023-09-11,Texas,Female,69,Toys,7,188.84,4,1321.88
287,2023-08-15,Texas,Male,68,Toys,6,210.22,2,1261.31
288,2023-04-22,California,Male,59,Clothing,8,137.0,1,1096.04
289,2023-04-09,Florida,Female,65,Toys,6,352.32,1,2113.9
290,2023-06-02,California,Female,22,Toys,9,381.51,2,3433.59
291,2023-12-15,New York,Male,69,Electronics,2,413.33,3,826.65
292,2023-12-04,Illinois,Female,58,Clothing,7,177.23,5,1240.62
293,2023-07-13,Illinois,Female,25,Toys,5,384.67,4,1923.34
294,2023-11-06,Texas,Female,28,Clothing,1,322.46,2,322.46
295,2023-06-12,Illinois,Female,33,Furniture,3,479.38,3,1438.14
296,2023-07-27,Illinois,Female,56,Electronics,4,218.14,5,872.58
297,2023-06-18,Illinois,Male,64,Electronics,2,496.23,3,992.46
298,2023-06-10,New York,Male,41,Electronics,7,372.79,5,2609.55
299,2023-03-09,Illinois,Male,38,Books,1,390.38,1,390.38
300,2023-10-16,Illinois,Male,69,Clothing,3,22.6,5,67.79
301,2023-10-04,Illinois,Male,40,Furniture,9,253.73,1,2283.53
302,2023-10-31,California,Male,66,Toys,2,268.88,4,537.77
303,2023-05-15,New York,Male,55,Furniture,5,29.89,2,149.47
304,2023-07-14,Texas,Female,64,Clothing,4,162.94,1,651.78
305,2023-05-08,California,Male,25,Electronics,3,478.27,3,1434.8
306,2023-02-02,Florida,Male,24,Books,5,218.79,5,1093.97
307,2023-06-25,New York,Male,19,Clothing,6,101.48,3,608.9
308,2023-01-22,New York,Female,47,Clothing,1,261.54,1,261.54
309,2023-08-26,Florida,Male,30,Toys,2,26.55,3,53.09
310,2023-06-07,Florida,Male,40,Furniture,1,262.83,5,262.83
311,2023-02-07,Florida,Female,46,Furniture,3,301.19,2,903.57
312,2023-08-18,Texas,Male,55,Toys,8,185.27,3,1482.16
313,2023-12-31,Illinois,Male,54,Books,8,383.66,4,3069.3
314,2023-02-20,New York,Female,37,Electronics,4,76.5,5,306.0
315,2023-09-21,Illinois,Male,50,Electronics,6,440.31,5,2641.86
316,2023-10-10,Illinois,Female,46,Books,9,478.17,4,4303.51
317,2023-01-27,Florida,Male,67,Toys,7,10.6,1,74.23
318,2023-08-14,Texas,Male,32,Clothing,2,422.93,4,845.87
319,2023-10-04,California,Male,40,Furniture,2,257.99,1,515.98
320,2023-10-13,Texas,Female,59,Clothing,3,236.09,2,708.27
321,2023-04-07,Illinois,Female,20,Furniture,8,126.95,1,1015.62
322,2023-10-11,Texas,Female,54,Clothing,9,229.19,2,2062.7
323,2023-11-13,Florida,Male,46,Toys,3,475.71,2,1427.13
324,2023-10-31,California,Male,62,Toys,9,113.29,4,1019.57
325,2023-05-27,Florida,Female,25,Books,8,97.73,2,781.84
326,2023-01-04,California,Female,39,Clothing,5,128.53,1,642.65
327,2023-02-04,Illinois,Male,46,Clothing,3,280.4,3,841.2
328,2023-07-11,California,Male,19,Books,7,465.85,5,3260.93
329,2023-02-18,California,Male,58,Books,9,291.2,5,2620.82
330,2023-01-17,California,Male,66,Toys,6,129.31,1,775.84
331,2023-06-21,Texas,Female,67,Toys,3,225.82,3,677.46
332,2023-08-08,Texas,Male,62,Clothing,5,201.3,2,1006.48
333,2023-06-07,Illinois,Male,18,Toys,7,32.82,1,229.73
334,2023-02-15,California,Male,61,Toys,8,260.21,2,2081.72
335,2023-01-06,New York,Male,37,Clothing,4,71.74,4,286.97
336,2023-04-09,Illinois,Male,69,Books,2,422.7,3,845.4
337,2023-08-21,California,Male,38,Clothing,2,278.99,5,557.98
338,2023-02-06,California,Male,54,Electronics,3,423.86,1,1271.57
339,2023-10-07,Texas,Female,25,Clothing,8,478.46,5,3827.7
340,2023-12-15,Illinois,Female,44,Electronics,1,472.16,2,472.16
341,2023-10-29,California,Female,64,Clothing,7,59.21,2,414.47
342,2023-06-30,California,Male,52,Electronics,6,472.96,4,2837.76
343,2023-04-05,Illinois,Female,23,Electronics,2,399.92,2,799.83
344,2023-04-09,New York,Male,62,Clothing,9,391.05,2,3519.47
345,2023-07-07,Illinois,Male,61,Toys,5,54.16,5,270.81
346,2023-04-26,Illinois,Male,36,Furniture,2,97.96,5,195.92
347,2023-07-10,New York,Male,35,Toys,3,487.83,1,1463.49
348,2023-09-10,Illinois,Female,18,Electronics,7,114.55,1,801.86
349,2023-06-10,California,Male,42,Clothing,7,92.84,2,649.85
350,2023-09-13,Illinois,Male,44,Clothing,1,187.55,3,187.55
351,2023-11-19,New York,Female,24,Clothing,4,457.54,1,1830.18
352,2023-05-08,Florida,Female,61,Clothing,6,243.33,2,1460.01
353,2023-01-18,Illinois,Female,59,Furniture,8,461.09,5,3688.69
354,2023-10-08,Texas,Male,46,Books,3,173.83,4,521.48
355,2023-08-11,California,Female,48,Electronics,3,121.0,5,363.0
356,2023-02-23,California,Male,61,Furniture,8,252.65,5,2021.2
357,2023-02-27,Texas,Male,60,Toys,8,311.58,4,2492.67
358,2023-11-19,Texas,Female,53,Books,8,201.83,5,1614.68
359,2023-12-26,Illinois,Female,36,Books,1,179.55,1,179.55
360,2023-06-23,Texas,Female,23,Clothing,8,116.85,5,934.79
361,2023-10-07,Florida,Male,42,Furniture,8,144.75,4,1158.03
362,2023-04-24,New York,Male,48,Toys,2,339.83,2,679.66
363,2023-10-15,Texas,Male,26,Clothing,9,191.24,2,1721.14
364,2023-12-08,Texas,Male,37,Clothing,7,49.08,2,343.57
365,2023-05-31,Florida,Male,27,Electronics,8,77.7,4,621.57
366,2023-05-07,California,Male,54,Books,2,192.47,4,384.93
367,2023-06-04,California,Female,44,Toys,4,463.01,1,1852.02
368,2023-09-30,Illinois,Male,30,Books,7,195.72,4,1370.07
369,2023-04-14,Florida,Female,58,Furniture,6,39.71,2,238.29
370,2023-10-26,New York,Female,19,Electronics,7,214.82,4,1503.72
371,2023-09-03,New York,Female,67,Clothing,1,337.72,3,337.72
372,2023-06-25,Florida,Female,38,Electronics,8,300.86,5,2406.9
373,2023-02-08,New York,Female,50,Clothing,7,146.61,1,1026.29
374,2023-06-19,California,Male,41,Electronics,4,347.16,2,1388.65
375,2023-09-04,New York,Male,61,Clothing,1,319.01,2,319.01
376,2023-01-26,New York,Male,59,Books,8,94.36,3,754.92
377,2023-12-21,Florida,Male,51,Books,7,89.45,1,626.16
378,2023-11-02,Florida,Female,26,Books,8,278.12,5,2224.96
379,2023-01-13,New York,Female,19,Books,1,333.12,1,333.12
380,2023-11-12,Texas,Female,47,Electronics,5,481.34,1,2406.68
381,2023-11-09,Florida,Male,39,Clothing,9,216.75,2,1950.71
382,2023-02-05,Illinois,Male,63,Books,5,384.82,4,1924.1
383,2023-06-22,Illinois,Male,28,Electronics,3,67.1,5,201.29
384,2023-01-20,California,Male,60,Clothing,9,445.91,1,4013.18
385,2023-11-17,New York,Female,34,Electronics,9,320.22,3,2882.0
386,2023-09-21,Texas,Female,53,Books,4,318.22,2,1272.9
387,2023-05-22,California,Male,30,Furniture,4,79.8,4,319.19
388,2023-05-23,New York,Male,24,Electronics,8,29.4,4,235.17
389,2023-04-02,Florida,Female,33,Books,7,353.71,2,2475.97
390,2023-12-20,Illinois,Female,50,Toys,5,67.36,1,336.79
391,2023-11-18,Texas,Female,62,Clothing,6,72.22,2,433.29
392,2023-10-15,Illinois,Female,18,Books,3,101.88,4,305.63
393,2023-08-03,Florida,Male,28,Toys,6,57.9,4,347.37
394,2023-12-08,New York,Female,23,Electronics,8,316.44,3,2531.54
395,2023-02-20,Florida,Female,37,Electronics,9,216.78,3,1951.04
396,2023-06-02,Florida,Female,52,Toys,3,140.39,4,421.16
397,2023-07-05,Illinois,Female,61,Toys,8,225.97,3,1807.74
398,2023-03-04,Texas,Male,54,Clothing,3,423.63,3,1270.89
399,2023-07-09,Florida,Male,58,Electronics,2,464.27,3,928.54
400,2023-05-05,Illinois,Male,43,Toys,5,248.86,4,1244.32
401,2023-05-30,Texas,Male,29,Furniture,4,287.71,1,1150.84
